"Computernavn";"Bruger";"Status"
"SST09972.sst.dk";"SST.DK\abv";"Kunne ikke pinge computeren"
"SST09925.sst.dk";"SST.DK\milj";
"SST09530.sst.dk";"SST.DK\gbu";"Kunne ikke finde bruger"
"SST09530.sst.dk";"SST.DK\lepe";"Kunne ikke finde bruger"
"SST09898.sst.dk";"SST.DK\aah";"Kunne ikke pinge computeren"
"SST09974.sst.dk";"SST.DK\HLH";"Kunne ikke pinge computeren"
"SST09828.sst.dk";"SST.DK\kjm";"Kunne ikke finde bruger"
"SST09826.sst.dk";"SST.DK\asla";"Kunne ikke finde bruger"
"SST09746.sst.dk";"SST.DK\KAP";"Kunne ikke finde bruger"
"SST09746.sst.dk";"SST.DK\lpe";"Kunne ikke finde bruger"
"SST09844.sst.dk";"SST.DK\lea";"Kunne ikke pinge computeren"
"SST09834.sst.dk";"SST.DK\ile";"Kunne ikke finde bruger"
"SST09840.sst.dk";"SST.DK\jasve";"Kunne ikke pinge computeren"
"SST09840.sst.dk";"SST.DK\RIWS";"Kunne ikke pinge computeren"
"SS09758.sst.dk";"SST.DK\LLP";"Kunne ikke pinge computeren"
"SST09847.sst.dk";"SST.DK\CHC";"Kunne ikke finde bruger"
"SST09614.sst.dk";"SST.DK\SFK";"Kunne ikke finde bruger"
"SST09785.sst.dk";"SST.DK\lokaladm";"Kunne ikke finde bruger"
"SST09599.sst.dk";"SST.DK\ajeo";"Kunne ikke finde bruger"
"SST09957.sst.dk";"SST.DK\HAR";"Kunne ikke pinge computeren"
"SST00304.sst.dk";"SST.DK\Bio";"Kunne ikke pinge computeren"
"SST01041.sst.dk";"SST.DK\KAP";
"SST01060.sst.dk";"SST.DK\kabj";"Kunne ikke finde bruger"
"SST09827.sst.dk";"SST.DK\chkr";"Kunne ikke finde bruger"
"SST09862.sst.dk";"SST.DK\JAO";"Kunne ikke finde bruger"
"SST09956.sst.dk";"SST.DK\lokaladm";"Kunne ikke pinge computeren"
"SST09745.sst.dk";"SST.DK\xjeaa";
"SST07164.sst.dk";"SST.DK\pey";"Kunne ikke pinge computeren"
"SST09981.sst.dk";"SST.DK\aipa";"Kunne ikke pinge computeren"
"SST05910.sst.dk";"SST.DK\pey";"Kunne ikke pinge computeren"
"SST05910.sst.dk";"SST.DK\pmm";"Kunne ikke pinge computeren"
"SST09980.sst.dk";"SST.DK\LEA";"Kunne ikke pinge computeren"
"SST09763.sst.dk";"SST.DK\pes";"Kunne ikke finde bruger"
"SST003743.sst.dk";"SST.DK\sech";
"SST003868.sst.dk";"SST.DK\pey";"Kunne ikke finde bruger"
"SST004131.sst.dk";"SST.DK\pkfr";"Kunne ikke pinge computeren"
"SST01084.sst.dk";"SST.DK\tio";"Kunne ikke finde bruger"
"SST004438.sst.dk";"SST.DK\dsvg";"Kunne ikke finde bruger"
"SST004463.sst.dk";"SST.DK\rmj";"Kunne ikke finde bruger"
"SST004467.sst.dk";"SST.DK\jpst";"Kunne ikke finde bruger"
"SST004855.sst.dk";"SST.DK\jasve";"Kunne ikke finde bruger"
"SST09889.sst.dk";"SST.DK\suab";"Kunne ikke pinge computeren"
"SST09967.sst.dk";"SST.DK\hah";"Kunne ikke finde bruger"
