DomainName;UserName;ComputerName
ssi;adm-krki;STD000858
ssi;adm-krki;SSI004349 
ssi;adm-krki;SSI004784 
ssi;adm-krki;STD001979 
ssi;adm-krki;SSI004198 
ssi;adm-krki;STD000917 
ssi;adm-krki;SSI003826 
ssi;adm-krki;SSI004422 
ssi;adm-krki;STD001014 
ssi;adm-krki;STD000756 
ssi;adm-krki;SSI004146 
ssi;adm-krki;STD000738 
ssi;adm-krki;SSI004398 
ssi;adm-krki;STD001881 
ssi;adm-krki;STD001978 
ssi;adm-krki;STD000874 
ssi;adm-krki;STD000087 
ssi;adm-krki;SSI003889 
ssi;adm-krki;STD002894     
ssi;adm-krki; STD002685   
ssi;adm-krki;SSI005383 
ssi;adm-krki;SSI004668       
ssi;adm-krki;SSI005575  
ssi;adm-krki;STD003092
